page,type,x0,y0,x1,y1,width,height,area,source
1,fs,320.2200012207031,1163.820068359375,326.1600036621094,1164.6600341796875,5.94000244140625,0.8399658203125,4.9893990233540535,vector
1,fs,320.2200012207031,1164.6600341796875,326.1600036621094,1165.56005859375,5.94000244140625,0.9000244140625,5.34614721685648,vector
1,fs,321.05999755859375,1165.56005859375,326.3399963378906,1167.2401123046875,5.279998779296875,1.6800537109375,8.870681542903185,vector
1,fs,322.79998779296875,1167.239990234375,326.760009765625,1168.9200439453125,3.96002197265625,1.6800537109375,6.653049610555172,vector
1,fs,324.47998046875,1168.919921875,327.3599853515625,1170.5399169921875,2.8800048828125,1.6199951171875,4.665593847632408,vector
1,fs,326.03997802734375,1170.5400390625,328.1999816894531,1172.0400390625,2.160003662109375,1.5,3.2400054931640625,vector
1,fs,327.6000061035156,1172.0400390625,330.3000183105469,1174.739990234375,2.70001220703125,2.699951171875,7.2899011224508286,vector
1,fs,327.6000061035156,1172.0400390625,329.1600036621094,1173.47998046875,1.55999755859375,1.43994140625,2.246305078268051,vector
1,fs,330.29998779296875,1174.739990234375,331.5,1175.8199462890625,1.20001220703125,1.0799560546875,1.2959604486823082,vector
1,fs,331.3800048828125,1175.820068359375,332.82000732421875,1176.7200927734375,1.44000244140625,0.9000244140625,1.2960373535752296,vector
1,fs,332.2799987792969,1176.719970703125,334.20001220703125,1177.5,1.920013427734375,0.780029296875,1.4976667240262032,vector
1,fs,333.0599670410156,1177.5,335.6999816894531,1178.1600341796875,2.6400146484375,0.6600341796875,1.742499902844429,vector
1,fs,333.65997314453125,1178.1600341796875,337.1999816894531,1178.580078125,3.540008544921875,0.4200439453125,1.4869591556489468,vector
1,fs,334.1399841308594,1178.580078125,338.7599792480469,1178.820068359375,4.6199951171875,0.239990234375,1.1087537109851837,vector
1,fs,334.3800048828125,1178.820068359375,340.3800048828125,1184.820068359375,6.0,6.0,36.0,vector
1,fs,334.3800048828125,1178.820068359375,340.3800048828125,1178.9400634765625,6.0,0.1199951171875,0.719970703125,vector
1,fs,454.1399841308594,1144.5,460.0199890136719,1150.43994140625,5.8800048828125,5.93994140625,34.92688447237015,vector
1,fs,454.0199890136719,1150.43994140625,460.0199890136719,1150.5,6.0,0.06005859375,0.3603515625,vector
1,fs,453.7799987792969,1150.5,458.4599914550781,1150.739990234375,4.67999267578125,0.239990234375,1.1231525391340256,vector
1,fs,453.3599853515625,1150.739990234375,456.8399963378906,1151.219970703125,3.480010986328125,0.47998046875,1.6703373044729233,vector
1,fs,452.6999816894531,1151.219970703125,455.3399963378906,1151.8199462890625,2.6400146484375,0.5999755859375,1.5839443355798721,vector
1,fs,451.91998291015625,1151.820068359375,453.8399963378906,1152.60009765625,1.920013427734375,0.780029296875,1.4976667240262032,vector
1,fs,449.9399719238281,1152.60009765625,451.91998291015625,1154.580078125,1.980010986328125,1.97998046875,3.920383080840111,vector
1,fs,451.1399841308594,1152.60009765625,452.4599914550781,1153.5001220703125,1.32000732421875,0.9000244140625,1.188038818538189,vector
1,fs,448.67999267578125,1154.580078125,449.94000244140625,1155.9000244140625,1.260009765625,1.3199462890625,1.6631452143192291,vector
1,fs,447.239990234375,1155.9000244140625,448.79998779296875,1157.280029296875,1.55999755859375,1.3800048828125,2.152804248034954,vector
1,fs,445.739990234375,1157.280029296875,447.8399963378906,1158.840087890625,2.100006103515625,1.56005859375,3.276132568717003,vector
1,fs,444.1199951171875,1158.840087890625,447.05999755859375,1160.400146484375,2.94000244140625,1.56005859375,4.586576074361801,vector
1,fs,442.44000244140625,1160.4000244140625,446.3999938964844,1162.080078125,3.959991455078125,1.6800537109375,6.652998339384794,vector
1,fs,440.7599792480469,1162.080078125,446.03997802734375,1163.820068359375,5.279998779296875,1.739990234375,9.187146313488483,vector
1,fs,439.8599853515625,1163.820068359375,445.79998779296875,1164.6600341796875,5.94000244140625,0.8399658203125,4.9893990233540535,vector
1,fs,439.8599853515625,1164.6600341796875,445.79998779296875,1165.56005859375,5.94000244140625,0.9000244140625,5.34614721685648,vector
1,fs,440.7599792480469,1165.56005859375,446.03997802734375,1167.2401123046875,5.279998779296875,1.6800537109375,8.870681542903185,vector
1,fs,442.4399719238281,1167.239990234375,446.39996337890625,1168.9200439453125,3.959991455078125,1.6800537109375,6.652998339384794,vector
1,fs,444.1199951171875,1168.919921875,447.05999755859375,1170.5399169921875,2.94000244140625,1.6199951171875,4.762789599597454,vector
1,fs,445.739990234375,1170.5400390625,447.8399963378906,1172.0400390625,2.100006103515625,1.5,3.1500091552734375,vector
